PressureC1_diff,FlowC1,Temp1,Yield
0.0,432.0636,139.9857,69.40062325
-9.962800000000016,487.4029,131.047,66.53266646
-0.069500000000005,437.3516,118.2666,71.10219259
0.22570000000001755,481.8314,118.1769,69.79348088
-0.16779999999999973,412.6471,120.7891,71.48951583
-1.2641000000000133,470.8127,121.7929,69.05508903
0.3616000000000099,493.493212,120.8903,69.16105249
0.18799999999998818,429.058,119.4786,71.39919122
-0.2574999999999932,414.0616,124.839,70.12587968
0.03470000000001505,493.493212,121.602,69.72631904
-4.0700999999999965,493.493212,121.8594,67.77787094
0.0,437.2185,121.1189,70.72671443
0.0,457.8587,121.7611,69.65671047
0.023099999999999454,479.9308,120.8585,69.53518784
-0.014500000000026603,443.2095,121.3995,70.44829579
-0.008599999999972852,493.1683,119.7303,69.0961358
9.954099999999983,477.226,121.7582,67.69307438
-0.1185999999999865,435.8184,121.411,69.89946566
2.0191999999999837,451.9198,118.4661,69.9737906
38.14160000000001,391.3474,120.3696,70.05030197
-0.14750000000000796,415.0105,119.9068,71.1950835
-0.005799999999993588,370.8142,120.1584,71.14084948
0.15330000000000155,401.9813,120.1324,71.9782232
-0.11860000000001492,296.5038,117.824,69.221689
-0.023099999999999454,230.6086,118.8509,69.3680077
0.1272000000000162,289.7983,121.871,70.16545973
-0.13009999999999877,315.5529,119.6927,70.0761285
-0.03470000000001505,306.4695,117.9715,69.29715961
0.07519999999999527,309.3942,126.0684,71.07169554
-20.044299999999993,301.896,121.6801,67.1441158
20.003800000000012,283.7205,113.9631,65.72632849
0.14459999999999695,286.7377,118.0207,69.20356716
-0.13880000000000337,303.4929,118.4257,69.06867956
0.0,315.2029,135.0188,73.24242551
-29.8827,305.2922,127.6826,68.2531281
14.857399999999984,310.8435,121.2461,66.74562168
15.146800000000013,350.3939,124.434,70.10385691
-0.02029999999999177,330.5261,129.8204,71.86946171
-4.836800000000011,311.8531,149.2138,67.17430263
0.1822999999999979,319.3194,144.5911,70.475956
4.85990000000001,297.9734,146.483,68.09191326
0.13890000000000668,296.3939,158.0253,68.51335753
-0.3009000000000128,284.0243,120.2626,69.23730962
-0.1302000000000021,265.7736,121.6367,69.99149499
0.1214999999999975,281.5538,121.9086,69.71265582
-0.13589999999999236,325.0876,120.9626,69.9002972
0.07810000000000628,396.0742,155.4767,68.61454385
0.06069999999999709,291.7943,123.9046,70.22958212
-0.16200000000000614,287.9382,118.6166,69.1030408
0.023200000000002774,235.2863,121.5557,69.19803928
0.5321999999999889,318.6656,141.9413,70.35464241
0.16200000000000614,307.1233,159.3068,67.95517271
-0.7086999999999932,265.4525,119.1113,68.56284262
0.15330000000000155,366.4171,131.5532,70.62892053
0.0,315.955,120.0022,69.3403362
-0.014499999999998181,379.3017,140.5354,70.75360243
-3.286200000000008,286.6509,120.4477,68.23514289
3.161900000000003,262.8287,117.8413,67.41768221
-0.245900000000006,255.8397,147.6864,68.7729804
0.7116000000000042,250.7859,127.7636,69.15184501
0.5294000000000096,294.881,127.1793,70.5522328
0.008700000000004593,318.9896,123.3897,70.8399518
-0.734800000000007,265.4033,119.9299,69.14806899
-0.1302000000000021,286.5352,120.2828,69.63127302
-0.13880000000000337,282.0398,121.3445,69.56923668
-0.023200000000002774,303.8371,120.8035,70.15347909
-18.210199999999986,277.1597,128.5505,67.42921477
-5.831900000000019,304.3838,157.817,66.35177565
24.042100000000005,285.6703,120.7515,65.9666288
0.27770000000001005,281.7448,121.0986,70.00787344
0.16199999999997772,342.1754,113.9631,68.86576881
-0.416499999999985,330.4827,120.1353,69.62978167
-0.11580000000000723,351.632,120.3349,70.5154403
0.2546000000000106,367.0709,136.6387,70.85871622
0.0,338.8169,117.9483,69.70247949
0.11570000000000391,330.4191,131.909,71.41347474
-0.11570000000000391,251.8765,123.8555,69.6753746
-0.13880000000000337,243.4209,113.9631,68.61725188
0.16200000000000614,286.5381,116.1288,69.03646759
-0.27780000000001337,273.7982,120.7168,68.97093693
-0.27769999999998163,208.6378,122.302,69.42521216
0.5322999999999922,226.2029,121.1565,69.64686487
0.0,227.9588,121.5181,69.18587787
0.13890000000000668,281.603,114.4047,69.17112349
-0.27770000000001005,221.8868,120.9482,69.3394429
0.0,260.7545,121.4862,69.22643223
0.13880000000000337,185.2437,120.9945,68.8290755
0.0,260.7372,120.8267,69.55523311
0.0,261.443,129.4704,70.51535463
-0.5322999999999922,265.9587,143.7666,68.67003938
-13.075400000000002,238.0142,127.3818,67.73867765
-0.8100000000000023,285.5256,133.2831,70.57274236
15.50849599999998,181.798024,145.9854,66.22079032
-1.507396,248.4804,144.4493,68.19356335
0.6711999999999989,286.7695,144.3799,69.0661189
-0.39339999999998554,339.0975,157.1111,68.66998869
-10.136400000000009,277.8655,149.9919,66.21190868
0.5554000000000201,263.2742,147.0442,68.61413287
-1.5043000000000006,297.1403,147.5793,68.74461503
1.087699999999984,216.8331,120.2655,68.08453782
0.008700000000004593,370.6435,143.0868,73.47196291
-0.23140000000000782,337.3387,119.9299,69.88996538
0.4656999999999982,328.1627,120.0225,69.79328683
-0.26030000000000086,342.2709,120.7833,70.3673841
-0.8678999999999917,396.6354,142.4157,70.24489731
0.8708000000000027,409.76,135.6668,69.44064697
0.2921000000000049,392.7417,139.7659,69.68544827
0.555499999999995,309.7066,121.7813,69.41747636
-1.3046999999999969,328.0846,123.7773,70.30723056
1.394299999999987,394.4918,148.1145,69.71065366
-0.3442000000000007,388.171,143.2372,71.06135872
-1.1311000000000035,425.7052,164.12032,67.27233172
-0.26899999999997704,361.4705,120.5172,70.7807349
-0.02610000000001378,434.2534,123.3608,69.74341971
1.1340000000000146,429.8535,137.3099,69.43157749
-0.15620000000001255,382.8222,128.4897,70.26063005
10.547200000000004,372.926,163.4637,65.60296649
-0.7694999999999936,391.6598,164.12032,67.08823522
-0.18810000000001992,363.7818,147.4897,69.82557904
-0.15909999999999513,422.9454,139.6039,70.08965793
1.0848000000000013,439.0613,140.5209,68.50565589
-0.1676999999999964,417.478,145.3172,71.20794432
-0.5121000000000038,370.2212,143.0926,72.24843001
0.13599999999999568,478.1691,145.025,69.6805515
0.03470000000001505,405.956,139.9713,70.14458396
0.0,405.9271,145.7453,72.4788414
-0.15330000000000155,402.2069,129.9564,69.75640144
0.5553999999999917,456.9793,150.5155,70.44273264
-0.1302000000000021,478.0736,150.773,71.62413816
0.4817000000000178,369.6249,123.1299,72.02252952
0.3371959999999774,492.2484,148.1376,69.16583277
-1.811095999999992,390.1989,161.3173,66.45684278
0.5264999999999986,322.082,134.5501,71.62101516
-0.2372000000000014,348.9215,155.4593,68.12410437
-0.12439999999998008,327.8792,136.9512,72.11225722
0.5032999999999959,401.2523,144.889,73.04342876
-0.0636000000000081,342.404,126.8987,71.48357975
-0.3009000000000128,400.749,128.2149,69.13398834
0.3067000000000064,408.7215,137.5558,69.96387145
-0.8649999999999807,411.9007,141.435,69.83507951
0.7202999999999804,433.0963,134.7613,68.11853037
-0.025999999999982037,417.4028,125.5304,70.21541562
0.5409999999999968,361.8321,126.1957,70.61003726
-0.6770000000000209,373.9934,126.2044,70.43304888
0.6972000000000094,360.5968,119.8952,70.53945535
-0.45130000000000337,383.8145,120.3002,71.56382972
0.08969999999999345,362.83,125.3076,71.1915316
0.7521000000000129,370.1344,145.4994,70.2946328
-2.357599999999991,351.2878,158.517,67.31016662
1.9324000000000012,376.0618,139.7456,69.57651987
-0.5323000000000206,351.3225,144.5014,70.53164388
0.41080000000002315,377.5284,124.6712,71.06860413
-0.1273000000000195,427.9645,120.1613,70.35533597
0.1331000000000131,380.1811,120.1613,70.8762685
-0.27190000000001646,383.0508,119.9907,71.94753954
0.40210000000001855,424.1459,131.7036,69.55021402
0.419399999999996,358.3723,124.2662,71.62008662
0.13309999999998468,328.0123,124.6047,71.33576181
0.14459999999999695,416.0056,132.126,69.69483149
