Temp1,FlowC1 PressureC1,PressureC1 TempC9,yield
120.7833,82118.83227614999,16617.10161,70.3673841
142.4157,94817.91352824,19124.448,70.24489731
135.6668,98312.241664,19366.859008,69.44064697
139.7659,94343.82206145,18809.10855,69.68544827
121.7813,74569.29690839999,14942.43444,69.41747636
123.7773,78566.18950278,16106.705118000002,70.30723056
148.1145,95018.71511848,19297.991632,69.71065366
143.2372,93362.65601739999,18991.411824,71.06135872
168.0402,101908.84412915999,20544.303905999997,67.27233172
120.5172,86434.57293065001,17474.838444,70.7807349
123.3608,103827.03501687999,20461.596056,69.74341971
137.3099,103262.5027152,21164.01632,69.43157749
128.4897,91904.5083762,18629.509599999998,70.26063005
163.4637,93462.0428532,18851.501004,65.60296649
166.3884,97855.69187226001,19333.292406,67.08823522
147.4897,90821.98245707998,17985.549624,69.82557904
139.6039,105525.5117181,20843.355310000003,70.08965793
140.5209,110022.74664019,22512.673192000002,68.50565589
145.3172,104544.2562908,20654.526128,71.20794432
143.0926,92520.6843178,18787.970670000002,72.24843001
145.025,119562.59718675,24286.953080249998,69.6805515
139.9713,101520.33980320001,20096.203792,70.14458396
145.7453,101513.11257212001,20136.216143999998,72.4788414
129.9564,100521.11705491,20393.36536937,69.75640144
150.5155,114463.85517849,22603.252031999997,70.44273264
150.773,119685.29549376,24368.981394,71.62413816
123.1299,92713.30936692002,18512.91835712,72.02252952
148.1376,125321.520156,25107.665800000002,69.16583277
161.3173,97298.78808741,19564.542373999997,66.45684278
134.5501,80482.94523879999,15987.539932,71.62101516
155.4593,87106.92657329999,17405.333064,68.12410437
136.9512,81813.00816656002,16327.883170060002,72.11225722
144.889,100323.14643273,20392.047156,73.04342876
126.8987,85587.817446,17327.331179999997,71.48357975
128.2149,100051.2357894,19833.038064,69.13398834
137.5558,102167.00980695,20937.261048,69.96387145
141.435,102605.41174161,20356.639956,69.83507951
134.7613,108197.24371637999,21849.484596,68.11853037
125.5304,104265.80027048,20863.012032,70.21541562
126.1957,90580.17951696001,17959.219424,70.61003726
126.2044,93371.41664004,18664.626456,70.43304888
119.8952,90278.22153504,17985.704352,70.53945535
120.3002,95917.73834425,19102.85286,71.56382972
125.3076,90706.121246,18114.724651999997,71.1915316
145.4994,92810.57157152,18655.67352,70.2946328
158.517,87256.62254346,17670.514398,67.31016662
139.7456,94136.95556758001,18709.148494,69.57651987
144.5014,87757.128333,17600.259767999996,70.53164388
124.6712,94458.20972544,18820.58969472,71.06860413
120.1613,107022.92276234999,21526.395743999998,70.35533597
120.1613,95124.12456014,19255.961504,70.8762685
119.9907,95737.99322339999,19020.091549999997,71.94753954
131.7036,106179.66665584,21403.8648,69.55021402
124.2662,89864.3628311,18164.83708,71.62008662
124.6047,82295.03874823,16413.230342,71.33576181
132.126,104431.84099432,21257.618396,69.69483149
147.0673,85278.040659,17361.9981,69.4793749
124.2952,99224.2926738,20130.123239999997,69.85273574
130.9775,91927.880095,18401.210544,69.04912965
128.2785,89497.96726584001,18230.506896,71.14137713
151.6495,109495.4844256,23172.410079999998,67.335228
142.6037,67325.2881345,13764.224396500002,68.81613365
164.4994,82357.331834,16073.939199999999,67.81543121
157.2095,80705.99543112,15674.896116000002,68.27705451
156.4255,69325.0237284,13369.10124,68.39696047
157.5103,50246.49397898,10026.5673,66.16329064
163.7704,70518.84991536001,14065.502976000002,65.20380122
151.9272,71969.24640335,13995.12981,68.91383565
146.5958,67189.62156783,13280.074158000001,69.81308354
